Account,Total PnL,Trade Count,Mean PnL
0x083384f897ee0f19899168e3b1bec365f52a9012,1599059.960596,1731,923.7781401478915
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940132.38584,9995,94.06026871835918
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,725029.644902,5227,138.70856034092213
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,685324.320643,2224,308.14942474955035
0x513b8629fe877bb581bf244e326a047b249c4ff1,664245.389511,5047,131.61192579968298
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,427124.262822,687,621.723817790393
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,373093.505672,8637,43.19711771124233
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,359965.924741,557,646.2583927127469
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308582.095514,2948,104.67506632089552
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,245884.810634,1138,216.06749616344464
0x430f09841d65beb3f27765503d0f850b8bce7713,234778.46754,576,407.60150614583335
0x420ab45e0bd8863569a5efbb9c05d91f40624641,188415.096232,89,2117.0235531685394
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,2060,81.87281795825243
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126522.954741,891,142.00107153872054
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,102329.077877,12100,8.456948584876033
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89454.567604,4892,18.285888717089126
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,58366.006036,2842,20.53694793666432
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,55625.297409,172,323.40289191279066
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,39847.125995,245,162.64133059183675
0x39cef799f8b69da1995852eea189df24eb5cae3c,30819.723882,1702,18.107945876615744
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,2641,8.515146088981448
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,22449.509034,170,132.05593549411765
0x8477e447846c758f5a675856001ea72298fd9cb5,21244.070462,6497,3.2698276838540865
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13187.634992,5297,2.4896422488200867
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,9217.042938999999,1422,6.481746089310829
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,7612.618288,79,96.36225681012658
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,6617.329307999999,696,9.507657051724138
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,3930.3776989999997,92,42.72149672826087
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2663.871544,102,26.11638768627451
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-14392.148739,6,-2398.6914565
0x271b280974205ca63b716753467d5a371de622ab,-72023.323402,1597,-45.099138010018784
0x8170715b3b381dffb7062c0298972d4727a0a63b,-155996.608138,2326,-67.06646953482374
